,track_name,track_id,artist_name,artist_id,album_id
522,Silence,3188009,Marshmello,582361,
523,Wolves,3280764,Selena Gomez & Marshmello,1235500,
524,Come & Go,4130757,Juice WRLD & Marshmello,2314163,
525,Spotlight,3384913,Marshmello & Lil Peep,1293217,
526,Alone,2472272,Marshmello,582361,
527,Everyday,3554278,Logic & Marshmello,1406211,
528,Hate the Other Side,5214785,Juice WRLD & Marshmello,2314163,
529,Danger,3288835,Migos & Marshmello,1246499,
530,Keep It Mello,2336576,Marshmello,582361,
531,Be Kind,5506859,Marshmello & Halsey,2215065,
532,Here With Me,4354645,Marshmello,582361,
533,Freal Luv,2877527,Far East Movement & Marshmello,1290167,
534,Project Dreams,4141482,Marshmello & Roddy Ricch,1660289,
535,Leave Before You Love Me,6830644,Marshmello & Jonas Brothers,2737876,
536,One Thing Right,4318886,Marshmello & Kane Brown,1731719,
537,Bye Bye,4350448,Juice WRLD & Marshmello,2314163,
538,Tongue Tied,5008937,"Marshmello, YUNGBLUD & blackbear",2013127,
539,You Can Cry,3686476,Marshmello & Juicy J,1461302,
540,Swish Swish,3080768,Katy Perry,1195,
541,Dark Horse,219361,Katy Perry,1195,
542,Chained To The Rhythm,2977709,Katy Perry,1195,
543,The One That Got Away,59339,Katy Perry,1195,
544,Firework,2563,Katy Perry,1195,
545,Roar,202955,Katy Perry,1195,
546,Bon Appétit,2984944,Katy Perry,1195,
