movie,processed_movie,Associated Music Genres
   Ghost in the Shell (2017),ghost in the shell,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Moon (2009),moon,"acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Freaky (2020),freaky,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Hunt (2020),the hunt,"darkwave,punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,noise,rock,metal,chill,electronic,industrial"
   Johnny English (2003),johnny english,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Logan Lucky,logan lucky,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Shot Caller (2017),shot caller,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   The Lone Ranger,the lone ranger,"acoustic,country,folk,punk,ambient,dubstep,hard-rock,alternative,bluegrass,blues,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Risky Business (1983),risky business,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Gentlemen Prefer Blondes (1953),gentlemen prefer blondes,"folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
   Ava (2020),ava,"acoustic,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,synthwave,indie-pop,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie"
   The Hurt Locker,the hurt locker,"piano,soundtrack,indie-pop,patriotic,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,metal,world-music,chill,electronic,punk,alternative,drum-and-bass,rock,indie"
   2 Fast 2 Furious,2 fast 2 furious,"punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Psy,psy,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Becky,becky,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Rampage (2009),rampage,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Æon Flux ( 2005),æon flux,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Sword in the Stone (1963),the sword in the stone,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   My Girl,my girl,"acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Ugetsu (1953),ugetsu,"acoustic,piano,folk,ambient,patriotic,punk,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,indie"
   Don't Breathe,don't breathe,"darkwave,reggae,ambient,dubstep,metal,synthwave,trap,drum-and-bass,grime,noise,hip-hop,dark-ambient,chill,electronic,industrial"
   Phenomenon (1996),phenomenon,"acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Arctic (2018),arctic,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Mechanic,the mechanic,"punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Geostorm,geostorm,"punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   I spit on your grave ( 1978 ),i spit on your grave,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Macbeth (2015),macbeth,"piano,epic-fantasy,soundtrack,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,ambient,trap,world-music,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Tomb Raider (2018),tomb raider,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The City of Lost Children,the city of lost children,"acoustic,piano,folk,ambient,chill,synth-pop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,space,retro,alternative,world-music,electronic,indie"
   Man On Fire (2004),man on fire,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Beowulf & Grendel (2005),beowulf & grendel,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The Man Who Knew Too Much (1956),the man who knew too much,"chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
   Conan the Barbarian (2011),conan the barbarian,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Transcendence (2014),transcendence,"piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Zardoz (1974),zardoz,"acoustic,folk,ambient,chill,synth-pop,epic-fantasy,soundtrack,synthwave,retro,space,new-age,alternative,world-music,electronic,rock"
   Cutthroat Island,cutthroat island,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Andrei Rublev (1966),andrei rublev,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Nemesis (1992),nemesis,"punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   The Big Sleep (1946),the big sleep,"jazz,funk,downtempo,dubstep,synthwave,grime,dark-ambient,trip-hop,reggae,ambient,trap,trumpet,chill,electronic,saxophone,blues,jazz-noir,drum-and-bass,hip-hop,soul"
   Oldboy (2013),oldboy,"piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   The Vanishing (Spoorloos; 1988),the vanishing,"acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Romper Stomper (1992),romper stomper,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Eagle vs Shark (2007),eagle vs shark,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Love at First Fight,love at first fight,"acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
   The Art of Racing in the Rain (2019),the art of racing in the rain,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Assassin's Creed (2016),assassin's creed,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Lincoln Lawyer,the lincoln lawyer,"piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Ninja Assassin,ninja assassin,"punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   My Spy,my spy,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   The Devils (1971),the devils,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Commuter (2018),the commuter,"chill,punk,ambient,dubstep,hard-rock,synthwave,downtempo,drum-and-bass,dark-ambient,rock,metal,trip-hop,electronic"
   The Girl On The Train,the girl on the train,"piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Freaks: You're One of Us,freaks: you're one of us,"acoustic,piano,punk,folk,dubstep,hard-rock,alternative,ambient,epic-fantasy,singer-songwriter,soundtrack,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   Mary and Max (2009),mary and max,"acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
   #Alive,#alive,"acoustic,darkwave,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,dark-ambient,noise,rock,metal,electronic,indie,industrial"
   Dances with Wolves (1990),dances with wolves,"acoustic,indie,folk,ambient,piano,country,blues,bluegrass,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Law Abiding Citizen (2009),law abiding citizen,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   I Am Legend (2007),i am legend,"acoustic,darkwave,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,dark-ambient,noise,rock,metal,electronic,indie,industrial"
   Lawrence of Arabia (1962),lawrence of arabia,"acoustic,indie,folk,ambient,country,piano,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   On Body and Soul (2017),on body and soul,"acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
   Seven Years In Tibet,seven years in tibet,"acoustic,indie,folk,ambient,country,piano,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Road (2009),the road,"acoustic,piano,punk,r-n-b,dubstep,hard-rock,alternative,folk,romantic,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie,soul"
   The Jackal,the jackal,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Chariots of Fire (1981),chariots of fire,"acoustic,country,folk,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
   Level 16,level 16,"acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Argo (2012),argo,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   50/50 (2011),50/50,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Long Way North (Tout en haut du monde; 2015),long way north,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Arlington Road (1999),arlington road,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Another Woman (1988),another woman,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   The Experiment,the experiment,"acoustic,piano,ambient,classical,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Where Eagles Dare (1968),where eagles dare,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,patriotic,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Miracle Worker (1962),the miracle worker,"acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   My Father And My Son,my father and my son,"acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Trapped,trapped,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Perfume: The Story Of A Murderer,perfume: the story of a murderer,"piano,epic-fantasy,soundtrack,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,ambient,trap,world-music,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Silence (2016),silence,"acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
   Prometheus,prometheus,"acoustic,piano,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,kids,world-music,alternative,upbeat,indie,fun"
   A Moment in the Reeds,a moment in the reeds,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   How to Make an American Quilt (1995),how to make an american quilt,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   All the Bright Places (2020),all the bright places,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Sixth Sense (1999),the sixth sense,"acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Secretary,secretary,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   You Were Never Really Here (2017),you were never really here,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Big Eyes (2014),big eyes,"acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   In the Mood for Love (2000),in the mood for love,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Candyman (1992),candyman,"chill,punk,ambient,dubstep,hard-rock,synthwave,downtempo,drum-and-bass,dark-ambient,rock,metal,trip-hop,electronic"
   Chemical Hearts,chemical hearts,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Swiss Army Man,swiss army man,"acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Triangle (2009),triangle,"folk,ambient,chill,trip-hop,synth-pop,soundtrack,epic-fantasy,synthwave,retro,downtempo,space,alternative,dark-ambient,world-music,electronic,rock"
   Matthias & Maxime (2019),matthias & maxime,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Diana ( 2013 ),diana,"acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Wrestler (2008),the wrestler,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Anna (Mindscape: 2013),anna,"punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   The Passion of Joan of Arc,the passion of joan of arc,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The lover (1992),the lover,"acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Repulsion,repulsion,"acoustic,darkwave,piano,ambient,dubstep,metal,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,noise,alternative,dark-ambient,chill,electronic,indie,industrial"
   A Christmas Carol (1938),a christmas carol,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Single White Female (1992),single white female,"acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   A Street Cat Named Bob (2016),a street cat named bob,"acoustic,country,folk,piano,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Wings of Desire,wings of desire,"acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Grosse Pointe Blank (1997),grosse pointe blank,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   The Fall,the fall,"acoustic,indie,folk,ambient,piano,epic-fantasy,singer-songwriter,soundtrack,indie-pop,new-age,alternative,world-music,rock"
   Comet (2014),comet,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Official Secrets ( 2019),official secrets,"acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
