track_name,track_id,artist_name,artist_id
mirrorball,5793981,Taylor Swift,1177
"Would’ve, Could’ve, Should’ve",8486447,Taylor Swift,1177
evermore,6260141,Taylor Swift,1177
Hits Different,8461583,Taylor Swift,1177
Getaway Car,3283019,Taylor Swift,1177
peace,5793961,Taylor Swift,1177
gold rush,6260161,Taylor Swift,1177
Gorgeous,3280165,Taylor Swift,1177
Midnight Rain,8485905,Taylor Swift,1177
I Don’t Wanna Live Forever,2927948,ZAYN & Taylor Swift,1043198
Vigilante Shit,8485914,Taylor Swift,1177
Don’t Blame Me,3306086,Taylor Swift,1177
The Archer,4721067,Taylor Swift,1177
The Man,4765529,Taylor Swift,1177
mad woman,5793964,Taylor Swift,1177
Dress,3281502,Taylor Swift,1177
Daylight,4765964,Taylor Swift,1177
hoax,5793957,Taylor Swift,1177
Lavender Haze,8442190,Taylor Swift,1177
Wildest Dreams,551256,Taylor Swift,1177
"no body, no crime",6260165,Taylor Swift,1177
I Did Something Bad,3306083,Taylor Swift,1177
epiphany,5793963,Taylor Swift,1177
Bejeweled,8485915,Taylor Swift,1177
I Can See You (Taylor’s Version) [From The Vault],4499979,Taylor Swift,1177
Miss Americana & The Heartbreak Prince,4765976,Taylor Swift,1177
the lakes,5793971,Taylor Swift,1177
Cornelia Street,4765965,Taylor Swift,1177
Bad Blood,551262,Taylor Swift,1177
’tis the damn season,6260163,Taylor Swift,1177
London Boy,4782854,Taylor Swift,1177
Sweet Nothing,8485919,Taylor Swift,1177
Afterglow,4782869,Taylor Swift,1177
Bigger Than The Whole Sky,8486443,Taylor Swift,1177
"thank u, next",4063065,Ariana Grande,26507
7 rings,4067762,Ariana Grande,26507
God is a woman,3681280,Ariana Grande,26507
Side To Side,2457495,Ariana Grande,26507
no tears left to cry,3649172,Ariana Grande,26507
34+35,6071429,Ariana Grande,26507
"break up with your girlfriend, i’m bored",4226433,Ariana Grande,26507
breathin,3681287,Ariana Grande,26507
positions,6068618,Ariana Grande,26507
Stuck with U,5524080,Ariana Grande & Justin Bieber,2000746
"yes, and?",9888882,Ariana Grande,26507
pov,6094314,Ariana Grande,26507
imagine,4067749,Ariana Grande,26507
Boyfriend,4737178,Ariana Grande & Social House,1898307
needy,4000336,Ariana Grande,26507
Bang Bang,486355,"Jessie J, Ariana Grande & Nicki Minaj",1212411
ghostin,4067759,Ariana Grande,26507
in my head,4114857,Ariana Grande,26507
pete davidson,3788156,Ariana Grande,26507
One Last Time,500846,Ariana Grande,26507
Let Me Love You,2437285,Ariana Grande,26507
sweetener,3681285,Ariana Grande,26507
Rain On Me,5317861,Lady Gaga & Ariana Grande,2155035
R.E.M.,3681276,Ariana Grande,26507
Dangerous Woman,2429192,Ariana Grande,26507
NASA,4067750,Ariana Grande,26507
bloodline,4067752,Ariana Grande,26507
Into You,2465219,Ariana Grande,26507
MONOPOLY,4426630,Ariana Grande & Victoria Monét,1775607
fake smile,4067754,Ariana Grande,26507
goodnight n go,3765838,Ariana Grande,26507
the light is coming,3690801,Ariana Grande,26507
we can’t be friends (wait for your love),10029450,Ariana Grande,26507
34+35 (Remix),6123723,Ariana Grande,26507
Save Your Tears (Remix),6722709,The Weeknd & Ariana Grande,3450866
bad idea,4067757,Ariana Grande,26507
better off,3760088,Ariana Grande,26507
Die For You (Remix),8855026,The Weeknd & Ariana Grande,3450866
make up,4067758,Ariana Grande,26507
Problem,405888,Ariana Grande,26507
fantasize,9258223,Ariana Grande,26507
get well soon,3418569,Ariana Grande,26507
The Way,131712,Ariana Grande,26507
everytime,3772759,Ariana Grande,26507
Don’t Call Me Angel (Charlie’s Angels),4650518,"Ariana Grande, Miley Cyrus & Lana Del Rey",1868267
