,Artist,Album,Track,Release Date
301,Taylor Swift,reputation,Gorgeous,2017-11-10
302,Taylor Swift,reputation,Getaway Car,2017-11-10
303,Taylor Swift,reputation,King Of My Heart,2017-11-10
304,Taylor Swift,reputation,Dancing With Our Hands Tied,2017-11-10
305,Taylor Swift,reputation,Dress,2017-11-10
306,Taylor Swift,reputation,This Is Why We Can't Have Nice Things,2017-11-10
307,Taylor Swift,reputation,Call It What You Want,2017-11-10
308,Taylor Swift,reputation,New Year’s Day,2017-11-10
309,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,All Too Well,2017-11-09
310,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Wildest Dreams,2017-11-09
311,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,The Best Day,2017-11-09
312,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Red,2017-11-09
313,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Holy Ground,2017-11-09
314,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Teardrops On My Guitar - Radio Single Remix,2017-11-09
315,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Our Song,2017-11-09
316,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,22,2017-11-09
317,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,I Knew You Were Trouble.,2017-11-09
318,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,I Don’t Wanna Live Forever (Fifty Shades Darker),2017-11-09
319,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Mean,2017-11-09
320,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,How You Get The Girl,2017-11-09
321,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,So It Goes...,2017-11-09
322,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Fifteen,2017-11-09
323,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Mine,2017-11-09
324,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Sparks Fly,2017-11-09
325,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,State Of Grace,2017-11-09
326,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Haunted,2017-11-09
327,Taylor Swift,reputation Stadium Tour Surprise Song Playlist,Never Grow Up,2017-11-09
